Параметр,Значение
Имя файла,пред_samara_weather_201201-201402.csv
Дата создания аннотации,2024-10-18 18:45:37
Количество строк,788
Количество столбцов,31
Начало периода данных,2012-01-01
Конец периода данных,2014-02-28

Столбец,Тип данных,Непустых значений,Уникальных значений,Минимум,Максимум,Среднее,Медиана,Станд. отклонение
Дата,datetime64[ns],788,788,N/A,N/A,N/A,N/A,N/A
Температура (день),float64,788,59,-27.0,37.0,8.49,8.00,14.69
Давление (день),float64,788,48,0.0,777.0,749.11,749.00,27.85
Температура (вечер),float64,788,57,-29.0,29.0,5.34,6.00,13.21
Давление (вечер),int64,788,47,722,779,750.20,749.00,7.77
Облачность (день)-Ясно,int64,788,2,0,1,0.30,0.00,0.46
Облачность (день)-Малооблачно,int64,788,2,0,1,0.21,0.00,0.41
Облачность (день)-Переменная облачность,int64,788,2,0,1,0.27,0.00,0.44
Облачность (день)-Пасмурно,int64,788,2,0,1,0.22,0.00,0.42
Облачность (вечер)-Ясно,int64,788,2,0,1,0.43,0.00,0.49
Облачность (вечер)-Малооблачно,int64,788,2,0,1,0.12,0.00,0.33
Облачность (вечер)-Переменная облачность,int64,788,2,0,1,0.23,0.00,0.42
Облачность (вечер)-Пасмурно,int64,788,2,0,1,0.23,0.00,0.42
Ветер (день) (м/с),float64,788,7,0.0,6.0,2.19,2.00,0.91
Ветер (день)-С,int64,788,2,0,1,0.10,0.00,0.31
Ветер (день)-СВ,int64,788,2,0,1,0.07,0.00,0.25
Ветер (день)-В,int64,788,2,0,1,0.15,0.00,0.36
Ветер (день)-ЮВ,int64,788,2,0,1,0.11,0.00,0.32
Ветер (день)-Ю,int64,788,2,0,1,0.09,0.00,0.29
Ветер (день)-ЮЗ,int64,788,2,0,1,0.12,0.00,0.33
Ветер (день)-З,int64,788,2,0,1,0.23,0.00,0.42
Ветер (день)-СЗ,int64,788,2,0,1,0.10,0.00,0.30
Ветер (вечер) (м/с),float64,788,7,0.0,6.0,2.19,2.00,0.91
Ветер (вечер)-С,int64,788,2,0,1,0.10,0.00,0.31
Ветер (вечер)-СВ,int64,788,2,0,1,0.07,0.00,0.25
Ветер (вечер)-В,int64,788,2,0,1,0.15,0.00,0.36
Ветер (вечер)-ЮВ,int64,788,2,0,1,0.11,0.00,0.32
Ветер (вечер)-Ю,int64,788,2,0,1,0.09,0.00,0.29
Ветер (вечер)-ЮЗ,int64,788,2,0,1,0.12,0.00,0.33
Ветер (вечер)-З,int64,788,2,0,1,0.23,0.00,0.42
Ветер (вечер)-СЗ,int64,788,2,0,1,0.10,0.00,0.30
